Area,Year,Month,Time,Crime Type,Latitude,Longitude,Cluster
AGAR,2021.0,6.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9072,77.6956,0
AGAR,2020.0,6.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8929,77.6947,0
AGRAHARA VILLAGE,2020.0,6.0,,THEFT,13.0885,77.6339,0
AGRAHARA VILLAGE,2020.0,1.0,,KIDNAPPING AND ABDUCTION,13.1007,77.6297,0
AGRAHARA VILLAGE,2022.0,6.0,,THEFT,13.1007,77.619,0
AGRAHARA VILLAGE,2022.0,1.0,,KARNATAKA POLICE ACT 1963,13.0623,77.6263,0
AGRAHARA VILLAGE,2022.0,5.0,,CRIMES RELATED TO WOMEN,13.1019,77.6279,0
AGRAHARA VILLAGE,2020.0,8.0,,THEFT,13.0908,77.6189,0
AGRAHARA VILLAGE,2019.0,2.0,,CHEATING,13.0775,77.6319,0
AIR FORCE EAST ROAD,2021.0,6.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0553,77.5428,-1
AIR FORCE EAST ROAD,2021.0,3.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0549,77.5343,-1
AIR FORCE EAST ROAD,2020.0,11.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0783,77.5206,-1
AKSHAYANAGARA,2020.0,9.0,,THEFT,13.0104,77.7028,-1
AKSHYA NAGAR,2024.0,2.0,,CYBER CRIME,13.0041,77.6507,-1
AMBALI PURA,2023.0,5.0,,ANIMAL,12.9215,77.6621,0
AMBALI PURA,2023.0,7.0,,THEFT,12.9204,77.6657,0
AMBALI PURA,2020.0,10.0,,MISSING PERSON,12.9304,77.6784,0
AMBALI PURA,2023.0,12.0,,CYBER CRIME,12.9274,77.6723,0
AMBALI PURA,2023.0,12.0,,MISSING PERSON,12.922,77.6623,0
AMBALI PURA,2024.0,1.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9296,77.7029,0
AMBALI PURA,2024.0,2.0,,CYBER CRIME,12.9088,77.6632,0
AMBEDKAR NAGARA,2017.0,5.0,,THEFT,12.9969,77.6738,-1
AMBEDKAR NAGARA GUTTE,2022.0,11.0,,CRIMINAL TRESPASS,12.9714,77.7501,0
AMBEDKAR NAGARA GUTTE,2024.0,1.0,,THEFT,12.9595,77.7705,0
AMBEDKAR NAGARA GUTTE,2022.0,7.0,,CRIMES RELATED TO WOMEN,12.9712,77.7679,0
AMBEDKAR NAGARA GUTTE,2022.0,12.0,,THEFT,12.97,77.76,0
AMBEDKAR NAGARA GUTTE,2024.0,1.0,,THEFT,12.9777,77.7674,0
AMBEDKAR NAGARA GUTTE,2023.0,11.0,,CHEATING,12.9665,77.7474,0
AMRUTHA COLLAGE ROAD,2023.0,3.0,,PUBLIC SAFETY,12.9223,77.6592,-1
AMRUTHA COLLAGE ROAD,2024.0,1.0,,NEGLIGENT ACT,12.9183,77.6703,-1
AMRUTHAHALLI,2023.0,10.0,,CYBER CRIME,13.0742,77.5587,-1
AMS LAYOUT,2018.0,3.0,,MISSING PERSON,13.0815,77.5551,-1
AMS LAYOUT,2023.0,11.0,,THEFT,13.0783,77.5565,-1
AMS LAYOUT,2017.0,2.0,,CYBER CRIME,13.0811,77.5591,-1
ANATHAPURA GATE,2022.0,7.0,,KARNATAKA POLICE ACT 1963,13.131,77.5738,-1
ANATHAPURA GATE,2023.0,11.0,,CASES OF HURT,13.1357,77.5622,-1
ANCHE PET,2017.0,7.0,,MURDER,12.9688,77.5791,-1
ANCHE PET,2022.0,3.0,,COPY RIGHT ACT 1957,12.9718,77.5769,-1
ANDREE ROAD,2022.0,6.0,,THEFT,12.9622,77.5957,-1
ANEPALYA FIRST CROSS TO EIGHT CROSS,2022.0,5.0,,RAPE,12.9504,77.609,-1
ANEPALYA NINE CROSS TO SEVENTEEN CROSS,2023.0,11.0,,CYBER CRIME,12.9519,77.6083,-1
ANJANDRI LAYOUT,2023.0,7.0,,THEFT,13.0424,77.6137,0
ANJANDRI LAYOUT,2023.0,4.0,,MOLESTATION,13.0576,77.6262,0
ANJANDRI LAYOUT,2023.0,10.0,,MISCHIEF,13.0754,77.6334,0
ANJANDRI LAYOUT,2022.0,5.0,,THEFT,13.0544,77.624,0
ANJANDRI LAYOUT,2023.0,12.0,,THEFT,13.0754,77.6334,0
ANJANDRI LAYOUT,2023.0,10.0,,THEFT,13.0416,77.6226,0
ANJANEYA BLOCK,2024.0,1.0,,MISSING PERSON,12.9932,77.5748,-1
ANJENEYA SLUM,2022.0,3.0,,MOLESTATION,12.9546,77.5905,-1
ANJENEYA SLUM,2021.0,2.0,,BURGLARY - NIGHT,12.9566,77.5874,-1
ANJENEYA SLUM,2021.0,9.0,,THEFT,12.9489,77.5985,-1
ANNAPOORNESHWARI NAGAR,2017.0,7.0,,THEFT,12.9792,77.5068,-1
ANNAPOORNESHWARI NAGAR,2017.0,7.0,,THEFT,12.9789,77.5078,-1
ANNAPOORNESHWARI NAGAR,2018.0,11.0,,ROBBERY,12.9789,77.5078,-1
ANNAPOORNESHWARI NAGAR,2023.0,10.0,,CASES OF HURT,12.9804,77.5071,-1
ANNAPORNA HOTEL JUNCTION,2019.0,4.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9542,77.5799,-1
ANNAPORNA HOTEL JUNCTION,2021.0,1.0,,PUBLIC SAFETY,12.9594,77.5801,-1
ANNAPORNA HOTEL JUNCTION,2022.0,6.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9634,77.5819,-1
ANNAPURNESHWARI NAGARA,2023.0,9.0,,CYBER CRIME,12.9489,77.4958,-1
ANNASANDRA PALYA,2023.0,12.0,,BURGLARY - DAY,12.9659,77.6689,0
ANNASANDRA PALYA,2023.0,10.0,,KARNATAKA POLICE ACT 1963,12.9641,77.6813,0
ANNASANDRA PALYA,2023.0,8.0,,CYBER CRIME,12.9649,77.6738,0
ANNASANDRA PALYA,2023.0,11.0,,MISSING PERSON,12.9649,77.6671,0
ANNASANDRA PALYA,2024.0,3.0,,CASES OF HURT,12.9551,77.6828,0
ANNASANDRA PALYA,2023.0,10.0,,BURGLARY - DAY,12.9714,77.6576,0
ARISHINAKUNTE,2022.0,9.0,,MOTOR VEHICLE ACCIDENTS FATAL,13.0807,77.4221,0
ARISHINAKUNTE,2022.0,4.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0801,77.4243,0
ARISHINAKUNTE,2023.0,11.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0791,77.4268,0
ARISHINAKUNTE,2022.0,7.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0802,77.4233,0
ARISHINAKUNTE,2022.0,9.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.0859,77.4118,0
ARISHINAKUNTE,2021.0,10.0,,MOTOR VEHICLE ACCIDENTS FATAL,13.0832,77.4174,0
ASHOKA NAGARA,2018.0,10.0,,THEFT,12.9392,77.5612,-1
ASHOKNAGAR JUNCTION,2016.0,3.0,,PUBLIC SAFETY,12.9708,77.6046,-1
ASHRAMA COLONY,2017.0,10.0,,CRIMINAL TRESPASS,13.0316,77.5704,0
ASHRAMA COLONY,2018.0,12.0,,CHILDREN ACT,13.0315,77.5762,0
ASHRAMA COLONY,2022.0,6.0,,MISCHIEF,13.0264,77.5748,0
ASHRAMA COLONY,2020.0,10.0,,KARNATAKA POLICE ACT 1963,13.028,77.5752,0
ASHRAMA COLONY,2023.0,1.0,,RAPE,13.0328,77.5699,0
ASHRAMA COLONY,2022.0,9.0,,CASES OF HURT,13.0443,77.5704,0
ASHRAMA COLONY,2022.0,6.0,,CHILDREN ACT,13.034,77.5688,0
ASHRAMA COLONY,2022.0,1.0,,ROBBERY,13.0414,77.567,0
ASHRAMA COLONY,2022.0,10.0,,BURGLARY - NIGHT,13.0277,77.5794,0
ATHMAJYOTHI NAGAR,2020.0,12.0,,ATTEMPT TO MURDER,12.9569,77.5386,0
ATHMAJYOTHI NAGAR,2022.0,12.0,,THEFT,12.9552,77.5405,0
ATHMAJYOTHI NAGAR,2018.0,9.0,,Karnataka State Local Act,12.9437,77.5258,0
ATHMAJYOTHI NAGAR,2018.0,10.0,,THEFT,12.9378,77.5292,0
ATHMAJYOTHI NAGAR,2017.0,5.0,,ROBBERY,12.9398,77.5239,0
ATHMAJYOTHI NAGAR,2018.0,10.0,,CASES OF HURT,12.938,77.5295,0
ATHMAJYOTHI NAGAR,2017.0,5.0,,THEFT,12.9469,77.53,0
ATHMAJYOTHI NAGAR,2018.0,11.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9414,77.5242,0
ATHMAJYOTHI NAGAR,2018.0,4.0,,CASES OF HURT,12.9419,77.524,0
ATTUR LAYOUT,2023.0,8.0,,CHEATING,13.1,77.56,-1
ATTUR LAYOUT,2024.0,2.0,,CYBER CRIME,13.104,77.5643,-1
AUSTIN TOWN CEMENT LANE,2023.0,8.0,,Karnataka State Local Act,12.961,77.6148,-1
AUSTIN TOWN CEMENT LANE,2022.0,1.0,,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,12.9549,77.6137,-1
AVENUE ROAD,2016.0,12.0,,CrPC,12.9669,77.5782,-1
AVVERAHALLI,2021.0,1.0,,Karnataka State Local Act,13.1065,77.4454,-1
AVVERAHALLI,2024.0,1.0,,CRIMES RELATED TO WOMEN,13.0059,77.4295,-1
AXA BUILDING,2021.0,7.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.921,77.6332,-1
AXA BUILDING,2021.0,2.0,,KIDNAPPING AND ABDUCTION,12.9227,77.6173,-1
AXA BUILDING,2021.0,8.0,,THEFT,12.9169,77.6298,-1
AYAVADAN RAO ROAD,2019.0,6.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9487,77.5637,-1
Adde,2019.0,3.0,,KIDNAPPING AND ABDUCTION,13.1713,77.557,-1
Adde,2023.0,5.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.2165,77.5527,-1
Adde,2021.0,4.0,,MOLESTATION,13.1718,77.5684,-1
Adde,2019.0,9.0,,POCSO,13.1729,77.5648,-1
Addiganahalli,2022.0,7.0,,MISSING PERSON,13.1714,77.571,-1
Adganahalli,2021.0,8.0,,THEFT,13.1713,77.5584,-1
Adganahalli,2023.0,10.0,,BURGLARY - NIGHT,13.1734,77.5636,-1
Adharsha Nagar,2020.0,7.0,,COPY RIGHT ACT 1957,12.9596,77.5652,-1
Adharsha Nagar,2023.0,11.0,,KARNATAKA POLICE ACT 1963,12.9605,77.567,-1
Agara,2023.0,2.0,,CHEATING,13.0167,77.6134,-1
Agara,2023.0,10.0,,CRUELTY BY HUSBAND,13.0475,77.6289,-1
Agraharadasarahally fourth main,2024.0,1.0,,MISSING PERSON,12.9856,77.5337,-1
Akkipet Main Road,2024.0,1.0,,CYBER CRIME,12.9645,77.5645,-1
Allalasandra,2023.0,10.0,,POCSO,13.0968,77.5941,-1
Amaco layout,2024.0,2.0,,THEFT,13.0586,77.5829,-1
Amarajyothinagar,2022.0,12.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9774,77.5186,-1
Anadanagara,2021.0,8.0,,THEFT,13.029,77.5891,-1
Anadanagara,2021.0,1.0,,BURGLARY - NIGHT,13.0341,77.5963,-1
Andra line,2017.0,5.0,,THEFT,12.9799,77.6245,-1
Andra line,2017.0,6.0,,THEFT,12.9812,77.6303,-1
Andra line,2019.0,5.0,,MISSING PERSON,12.9804,77.6229,-1
Andrahalli,2023.0,11.0,,THEFT,13.0086,77.4887,-1
Andrahalli,2023.0,10.0,,CYBER CRIME,12.9871,77.4917,-1
Anjananagar,2024.0,2.0,,THEFT,12.9861,77.4884,-1
Anjananagar,2024.0,1.0,,BURGLARY - DAY,12.9868,77.4914,-1
Anjanappa Garden,2022.0,12.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.964,77.5678,-1
Anjanappa Garden,2023.0,10.0,,CASES OF HURT,12.9632,77.5691,-1
Annapurneshwarinagar,2022.0,3.0,,THEFT,12.9753,77.5209,-1
Ashirvad Colony,2019.0,6.0,,CASES OF HURT,13.0387,77.6463,-1
Ashoknagar,2021.0,1.0,,CHEATING,12.9558,77.6117,-1
Ashoknagar,2022.0,4.0,,MISSING PERSON,12.9665,77.6099,-1
Ashoknagar,2020.0,3.0,,COPY RIGHT ACT 1957,12.9674,77.6072,-1
Attibele,2020.0,10.0,,THEFT,12.7761,77.7617,0
Attibele,2023.0,11.0,,THEFT,12.7746,77.7683,0
Attibele,2020.0,1.0,,THEFT,12.7892,77.7521,0
Attibele,2021.0,7.0,,THEFT,12.7567,77.774,0
Attibele,2022.0,8.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7795,77.7705,0
Attibele,2022.0,11.0,,BURGLARY - NIGHT,12.7556,77.7295,0
Attibele,2022.0,9.0,,THEFT,12.7783,77.7681,0
Attibele,2021.0,11.0,,THEFT,12.7795,77.775,0
Attibele,2022.0,8.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7804,77.7654,0
Attibele,2022.0,6.0,,MISSING PERSON,12.7776,77.7708,0
Attibele,2019.0,9.0,,MISSING PERSON,12.7791,77.775,0
Attibele,2019.0,6.0,,CASES OF HURT,12.7504,77.7478,0
Attibele,2019.0,1.0,,THEFT,12.7826,77.7747,0
Attibele,2022.0,6.0,,FORGERY,12.7775,77.7707,0
Attibele,2021.0,8.0,,THEFT,12.7787,77.7724,0
Attigupe,2023.0,11.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9619,77.5296,-1
Attigupe,2023.0,10.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9591,77.5164,-1
Attigupe,2021.0,4.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9581,77.5187,-1
Austin Town,2018.0,5.0,,THEFT,12.9618,77.6378,0
Austin Town,2022.0,6.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9575,77.6156,0
Austin Town,2022.0,11.0,,MISSING PERSON,12.9569,77.6157,0
Austin Town,2024.0,2.0,,THEFT,12.9568,77.6169,0
Austin Town,2023.0,4.0,,Failure to appear to Court,12.9576,77.6149,0
Avalahalli,2023.0,3.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1365,77.5678,-1
Avenue Road,2023.0,8.0,,PUBLIC SAFETY,12.9645,77.572,-1
B B ROAD,2024.0,1.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9988,77.5843,-1
B B ROAD,2017.0,7.0,,PUBLIC SAFETY,13.0169,77.5839,-1
B B ROAD,2017.0,4.0,,PUBLIC SAFETY,13.0202,77.5839,-1
B D A UPRAMP,2017.0,11.0,,PUBLIC SAFETY,12.9984,77.5844,-1
B Narayanapura,2024.0,2.0,,CYBER CRIME,12.9968,77.693,-1
B Narayanapura,2017.0,7.0,,THEFT,12.9973,77.691,-1
B Narayanapura,2017.0,6.0,,DEATHS DUE TO RASHNESS/NEGLIGENCE,12.9964,77.6941,-1
B Narayanapura,2023.0,10.0,,THEFT,12.9967,77.6929,-1
B.D.A Layout,2023.0,10.0,,MISSING PERSON,12.903,77.5673,-1
B.M.T.C. BUS STAND,2019.0,9.0,,KARNATAKA POLICE ACT 1963,12.9643,77.5777,-1
BADAKANAPALYA,2022.0,1.0,,BURGLARY - NIGHT,12.9991,77.4703,-1
BADAKANAPALYA,2020.0,11.0,,THEFT,13.1047,77.4439,-1
BAGALAGUNTE,2023.0,7.0,,DEATHS DUE TO RASHNESS/NEGLIGENCE,13.0492,77.5063,-1
BAGALUR,2024.0,2.0,,CYBER CRIME,13.0589,77.583,-1
BAGALUR VILLAGE,2023.0,11.0,,MISSING PERSON,13.1465,77.6587,-1
BAGALUR VILLAGE,2023.0,10.0,,CYBER CRIME,13.1331,77.6672,-1
BAGALUR VILLAGE,2018.0,9.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.1416,77.6717,-1
BAHUBALINAGARA,2018.0,9.0,,MISCHIEF,13.0466,77.5442,0
BAHUBALINAGARA,2023.0,9.0,,CHEATING,13.0449,77.5504,0
BAHUBALINAGARA,2018.0,4.0,,BURGLARY - NIGHT,13.0439,77.5485,0
BAHUBALINAGARA,2018.0,11.0,,MISSING PERSON,13.046,77.5439,0
BAHUBALINAGARA,2023.0,9.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0412,77.5454,0
BAHUBALINAGARA,2023.0,4.0,,THEFT,13.0466,77.5443,0
BALAGARANAHALLI,2023.0,3.0,,CRIMINAL TRESPASS,12.7952,77.7295,0
BALAGARANAHALLI,2023.0,11.0,,MISSING PERSON,12.787,77.7355,0
BALAGARANAHALLI,2022.0,5.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.7923,77.7273,0
BALAGARANAHALLI,2020.0,8.0,,CRIMINAL TRESPASS,12.7668,77.7535,0
BALAGARANAHALLI,2022.0,1.0,,BURGLARY - NIGHT,12.7777,77.7743,0
BALAGARANAHALLI,2021.0,3.0,,CHEATING,12.778,77.7469,0
BALAGARANAHALLI,2022.0,5.0,,THEFT,12.7943,77.73,0
BALAJI NARSING HOME,2017.0,8.0,,CrPC,13.0515,77.5524,-1
BALAJI NARSING HOME,2017.0,10.0,,MISSING PERSON,13.0415,77.5518,-1
BALAJI NARSING HOME,2021.0,10.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.0405,77.5442,-1
BALEPET,2022.0,3.0,,MISSING PERSON,12.9745,77.573,-1
BALEPET CIRCLE TO R.T STREET PUTTPATH,2024.0,1.0,,MISSING PERSON,12.9715,77.5774,-1
BALEPET CIRCLE TO R.T STREET PUTTPATH,2018.0,7.0,,THEFT,12.9686,77.5748,-1
BALEPET CIRCLE TO R.T STREET PUTTPATH,2018.0,7.0,,CASES OF HURT,12.97,77.5761,-1
BALEPET CIRCLE TO R.T STREET PUTTPATH,2020.0,1.0,,CASES OF HURT,12.9714,77.573,-1
BAMBOO BAZAAR,2018.0,10.0,,ROBBERY,12.9639,77.5772,-1
BAMBOO BAZAAR,2018.0,1.0,,ATTEMPT TO MURDER,12.9628,77.5781,-1
BAMBOO BAZAAR,2019.0,3.0,,RIOTS,12.963,77.5811,-1
BANAGIRI NAGAR,2019.0,5.0,,THEFT,12.9257,77.5597,-1
BANAGIRI NAGAR,2020.0,3.0,,ROBBERY,12.9221,77.56,-1
BANDIKODIGEHALLI VILLAGE,2023.0,11.0,,THEFT,13.1791,77.7234,-1
BANDIKODIGEHALLI VILLAGE,2019.0,3.0,,THEFT,13.1824,77.6805,-1
BANKCOLONY,2023.0,11.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9239,77.5531,-1
BANKCOLONY,2023.0,6.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9408,77.5428,-1
BAPOOJI LAYOUT,2017.0,1.0,,THEFT,12.9709,77.5298,-1
BASAVALINGAPPA LAYOUT,2024.0,1.0,,KIDNAPPING AND ABDUCTION,13.0733,77.6328,0
BASAVALINGAPPA LAYOUT,2024.0,1.0,,THEFT,13.0681,77.6269,0
BASAVALINGAPPA LAYOUT,2024.0,2.0,,THEFT,13.0754,77.6334,0
BASAVALINGAPPA LAYOUT,2021.0,3.0,,POCSO,13.0753,77.6324,0
BASAVALINGAPPA LAYOUT,2022.0,4.0,,ATTEMPT TO MURDER,13.0759,77.6223,0
BASAVALINGAPPA LAYOUT,2021.0,5.0,,CASES OF HURT,13.0708,77.6311,0
BASAVANAPURA,2023.0,8.0,,Karnataka State Local Act,12.8352,77.597,-1
BASAVESHWARNAGARA EIGTH B MAIN TO MANJUNATHNAGAR NINTEENTH MAIN,2023.0,9.0,,CHEATING,12.9914,77.5404,-1
BASAVESHWARNAGARA TENTH MAIN TO FIFTEENTH MAIN,2018.0,10.0,,CHEATING,12.9953,77.5356,-1
BAZAR STREET,2016.0,3.0,,CHEATING,12.9412,77.6079,0
BAZAR STREET,2023.0,7.0,,CASES OF HURT,12.944,77.605,0
BAZAR STREET,2017.0,1.0,,MISSING PERSON,12.9442,77.6087,0
BAZAR STREET,2021.0,12.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9484,77.6187,0
BAZAR STREET,2021.0,12.0,,CHEATING,12.9514,77.6188,0
BB JUNCTION,2022.0,9.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9639,77.5695,-1
BB JUNCTION,2023.0,11.0,,NEGLIGENT ACT,12.9628,77.5662,-1
BBMP OFFICE,2021.0,2.0,,MOTOR VEHICLE ACCIDENTS FATAL,13.0095,77.6968,-1
BDA,2022.0,5.0,,THEFT,12.9251,77.5645,-1
BDA COMPLEX,2020.0,9.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9257,77.5609,-1
BDA COMPLEX,2019.0,6.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9155,77.5695,-1
BEGGER COLONY,2023.0,8.0,,THEFT,12.9968,77.5235,-1
BEL COLONY,2019.0,3.0,,MISSING PERSON,13.0492,77.5601,-1
BELTHUR,2020.0,1.0,,CYBER CRIME,12.9954,77.7577,-1
BELTHUR,2023.0,12.0,,CYBER CRIME,12.9892,77.7641,-1
BEML LAYOUT,2017.0,7.0,,CrPC,12.9993,77.5411,0
BEML LAYOUT,2016.0,3.0,,CASES OF HURT,12.9938,77.548,0
BEML LAYOUT,2023.0,8.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9906,77.544,0
BEML LAYOUT,2019.0,7.0,,DACOITY,12.9941,77.5382,0
BEML LAYOUT,2016.0,11.0,,THEFT,12.9994,77.5411,0
BEML Layout,2023.0,11.0,,MISSING PERSON,12.9923,77.5298,-1
BEML Layout,2023.0,5.0,,THEFT,12.9993,77.5285,-1
BENNIGANAHALLI,2024.0,2.0,,PUBLIC SAFETY,12.9685,77.6585,-1
BENSON TOWN,2017.0,5.0,,ROBBERY,12.9979,77.6029,-1
BENSON TOWN,2019.0,2.0,,THEFT,12.9982,77.6059,-1
BERETENA AGRAHARA,2020.0,4.0,,MISSING PERSON,12.8549,77.6723,-1
BERETENA AGRAHARA,2023.0,12.0,,THEFT,12.849,77.6558,-1
BHATTARAMARENAHALLI,2021.0,3.0,,BURGLARY - NIGHT,13.1701,77.7396,-1
BHATTARAMARENAHALLI,2020.0,10.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1717,77.7349,-1
BHATTARAMARENAHALLI,2020.0,3.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1522,77.728,-1
BHCS LAYOUT,2024.0,1.0,,MISSING PERSON,12.9091,77.5511,-1
BHES LAYOUT,2023.0,8.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9284,77.598,-1
BHOVI COLONY,2016.0,4.0,,CRIMINAL TRESPASS,12.9553,77.5467,-1
BHOVI COLONY,2018.0,12.0,,THEFT,12.9903,77.5505,-1
BHOVI COLONY,2017.0,7.0,,THEFT,12.9942,77.5391,-1
BHOVIPALYA,2020.0,6.0,,CASES OF HURT,13.1521,77.6124,0
BHOVIPALYA,2024.0,3.0,,ROBBERY,13.1524,77.6165,0
BHOVIPALYA,2023.0,10.0,,THEFT,13.1462,77.618,0
BHOVIPALYA,2021.0,6.0,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.1435,77.6273,0
BHOVIPALYA,2020.0,11.0,,BURGLARY - NIGHT,13.1513,77.6218,0
BHUVANESWARI NAGAR,2019.0,4.0,,THEFT,12.9238,77.5487,-1
BILAL NAGAR,2024.0,2.0,,CASES OF HURT,13.0098,77.6199,-1
BILEKAHALLI,2023.0,6.0,,CHEATING,12.8949,77.6132,0
BILEKAHALLI,2016.0,12.0,,CASES OF HURT,12.8913,77.6103,0
BILEKAHALLI,2016.0,2.0,,CASES OF HURT,12.9007,77.6034,0
BILEKAHALLI,2016.0,12.0,,THEFT,12.8912,77.6096,0
BILEKAHALLI,2016.0,1.0,,THEFT,12.8964,77.6078,0
BILEKAHALLI,2020.0,9.0,,MOLESTATION,12.9003,77.6005,0
BILEKAHALLI,2017.0,4.0,,THEFT,12.9003,77.6022,0
BILEKAHALLI,2022.0,6.0,,KIDNAPPING AND ABDUCTION,12.9455,77.5681,0
BILLAPURA,2022.0,4.0,,CASES OF HURT,12.8266,77.7671,-1
BILVARADAHALLI,2022.0,11.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8287,77.5873,0
BILVARADAHALLI,2023.0,8.0,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8251,77.5861,0
BILVARADAHALLI,2021.0,10.0,,KIDNAPPING AND ABDUCTION,12.7868,77.5682,0
BILVARADAHALLI,2022.0,5.0,,MISSING PERSON,12.8266,77.5639,0
BILVARADAHALLI,2022.0,4.0,,THEFT,12.8329,77.6069,0
BILVARADAHALLI,2024.0,3.0,,MISSING PERSON,12.8437,77.5534,0
BILVARADAHALLI,2019.0,6.0,,MISSING PERSON,12.804,77.5514,0
