Area,Year,Month,Time,Crime Type,Latitude,Longitude
BANKCOLONY,2023,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9239,77.5531
BANKCOLONY,2023,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9408,77.5428
BAPOOJI LAYOUT,2017,1,,THEFT,12.9709,77.5298
BASAVALINGAPPA LAYOUT,2024,1,,KIDNAPPING AND ABDUCTION,13.0733,77.6328
BASAVALINGAPPA LAYOUT,2024,1,,THEFT,13.0681,77.6269
BASAVALINGAPPA LAYOUT,2024,2,,THEFT,13.0754,77.6334
BASAVALINGAPPA LAYOUT,2021,3,,POCSO,13.0753,77.6324
BASAVALINGAPPA LAYOUT,2022,4,,ATTEMPT TO MURDER,13.0759,77.6223
BASAVALINGAPPA LAYOUT,2021,5,,CASES OF HURT,13.0708,77.6311
BASAVANAPURA,2023,8,,Karnataka State Local Act,12.8352,77.597
BASAVESHWARNAGARA EIGTH B MAIN TO MANJUNATHNAGAR NINTEENTH MAIN,2023,9,,CHEATING,12.9914,77.5404
BASAVESHWARNAGARA TENTH MAIN TO FIFTEENTH MAIN,2018,10,,CHEATING,12.9953,77.5356
BAZAR STREET,2016,3,,CHEATING,12.9412,77.6079
BAZAR STREET,2023,7,,CASES OF HURT,12.944,77.605
BAZAR STREET,2017,1,,MISSING PERSON,12.9442,77.6087
BAZAR STREET,2021,12,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9484,77.6187
BAZAR STREET,2021,12,,CHEATING,12.9514,77.6188
BB JUNCTION,2022,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9639,77.5695
BB JUNCTION,2023,11,,NEGLIGENT ACT,12.9628,77.5662
BBMP OFFICE,2021,2,,MOTOR VEHICLE ACCIDENTS FATAL,13.0095,77.6968
BDA,2022,5,,THEFT,12.9251,77.5645
BDA COMPLEX,2020,9,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9257,77.5609
BDA COMPLEX,2019,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9155,77.5695
BEGGER COLONY,2023,8,,THEFT,12.9968,77.5235
BEL COLONY,2019,3,,MISSING PERSON,13.0492,77.5601
BELTHUR,2020,1,,CYBER CRIME,12.9954,77.7577
BELTHUR,2023,12,,CYBER CRIME,12.9892,77.7641
BEML LAYOUT,2017,7,,CrPC,12.9993,77.5411
BEML LAYOUT,2016,3,,CASES OF HURT,12.9938,77.548
BEML LAYOUT,2023,8,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9906,77.544
BEML LAYOUT,2019,7,,DACOITY,12.9941,77.5382
BEML LAYOUT,2016,11,,THEFT,12.9994,77.5411
BEML Layout,2023,11,,MISSING PERSON,12.9923,77.5298
BEML Layout,2023,5,,THEFT,12.9993,77.5285
BENNIGANAHALLI,2024,2,,PUBLIC SAFETY,12.9685,77.6585
BENSON TOWN,2017,5,,ROBBERY,12.9979,77.6029
BENSON TOWN,2019,2,,THEFT,12.9982,77.6059
BERETENA AGRAHARA,2020,4,,MISSING PERSON,12.8549,77.6723
BERETENA AGRAHARA,2023,12,,THEFT,12.849,77.6558
BHATTARAMARENAHALLI,2021,3,,BURGLARY - NIGHT,13.1701,77.7396
BHATTARAMARENAHALLI,2020,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1717,77.7349
BHATTARAMARENAHALLI,2020,3,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1522,77.728
BHCS LAYOUT,2024,1,,MISSING PERSON,12.9091,77.5511
BHES LAYOUT,2023,8,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9284,77.598
BHOVI COLONY,2016,4,,CRIMINAL TRESPASS,12.9553,77.5467
BHOVI COLONY,2018,12,,THEFT,12.9903,77.5505
BHOVI COLONY,2017,7,,THEFT,12.9942,77.5391
BHOVIPALYA,2020,6,,CASES OF HURT,13.1521,77.6124
BHOVIPALYA,2024,3,,ROBBERY,13.1524,77.6165
BHOVIPALYA,2023,10,,THEFT,13.1462,77.618
BHOVIPALYA,2021,6,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,13.1435,77.6273
BHOVIPALYA,2020,11,,BURGLARY - NIGHT,13.1513,77.6218
BHUVANESWARI NAGAR,2019,4,,THEFT,12.9238,77.5487
BILAL NAGAR,2024,2,,CASES OF HURT,13.0098,77.6199
BILEKAHALLI,2023,6,,CHEATING,12.8949,77.6132
BILEKAHALLI,2016,12,,CASES OF HURT,12.8913,77.6103
BILEKAHALLI,2016,2,,CASES OF HURT,12.9007,77.6034
BILEKAHALLI,2016,12,,THEFT,12.8912,77.6096
BILEKAHALLI,2016,1,,THEFT,12.8964,77.6078
BILEKAHALLI,2020,9,,MOLESTATION,12.9003,77.6005
BILEKAHALLI,2017,4,,THEFT,12.9003,77.6022
BILEKAHALLI,2022,6,,KIDNAPPING AND ABDUCTION,12.9455,77.5681
BILLAPURA,2022,4,,CASES OF HURT,12.8266,77.7671
BILVARADAHALLI,2022,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8287,77.5873
BILVARADAHALLI,2023,8,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8251,77.5861
BILVARADAHALLI,2021,10,,KIDNAPPING AND ABDUCTION,12.7868,77.5682
BILVARADAHALLI,2022,5,,MISSING PERSON,12.8266,77.5639
BILVARADAHALLI,2022,4,,THEFT,12.8329,77.6069
BILVARADAHALLI,2024,3,,MISSING PERSON,12.8437,77.5534
BILVARADAHALLI,2019,6,,MISSING PERSON,12.804,77.5514
BILVARADAHALLI,2023,8,,MOTOR VEHICLE ACCIDENTS FATAL,12.8289,77.5874
BILVARADAHALLI,2023,3,,MURDER,12.8545,77.5485
BILVARADAHALLI,2023,11,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.8222,77.5853
BILVARADAHALLI,2020,1,,KIDNAPPING AND ABDUCTION,12.8252,77.6089
BINNILAYOUT,2017,7,,Disobedience to Order Promulgated by PublicServan,12.9609,77.5281
BINNILAYOUT,2016,12,,MISSING PERSON,12.9594,77.5324
BINNILAYOUT,2017,10,,CRIMINAL INTIMIDATION,12.9563,77.527
BINNILAYOUT,2017,5,,CHEATING,12.9902,77.5223
BINNY LAYOUT,2016,11,,CrPC,12.9679,77.5399
BINNY LAYOUT,2016,3,,THEFT,12.9722,77.5429
BINNY LAYOUT,2016,3,,CASES OF HURT,12.9801,77.5377
BINNY LAYOUT,2016,6,,THEFT,12.9707,77.5421
BIRESHWARANAGAR,2020,1,,CHEATING,12.8828,77.5763
BMTC BUS STAND,2023,10,,THEFT,12.9827,77.6032
BMTC BUS STAND,2023,12,,CASES OF HURT,12.9841,77.6034
BOWRING HOSPITAL,2023,12,,CRUELTY BY HUSBAND,13.0356,77.6574
BP Wadia Road,2020,11,,ROBBERY,12.9343,77.5728
BRANDAVAN LAYOUT,2021,9,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.8944,77.5346
BRANDAVAN LAYOUT,2022,7,,THEFT,12.9107,77.5368
BRANDAVAN LAYOUT,2023,1,,MISSING PERSON,12.9049,77.5418
BRANDAVAN LAYOUT,2024,2,,MISSING PERSON,12.9057,77.5425
BROADWAY ROAD,2023,12,,PUBLIC SAFETY,12.9879,77.6034
BSK I ST STAGE,2022,8,,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,12.9372,77.5595
BSK RING ROAD,2024,1,,PUBLIC SAFETY,12.9349,77.5374
BSK RING ROAD,2023,6,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9212,77.5417
BSK RING ROAD,2020,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9296,77.5386
BSK RING ROAD,2020,5,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9239,77.5533
BSK RING ROAD,2023,10,,MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9268,77.5531
BTM SECOND STAGE,2020,2,,CYBER CRIME,12.9095,77.6064
BTM SECOND STAGE,2021,6,,CRIMES RELATED TO WOMEN,12.9152,77.613
BTM SECOND STAGE,2016,5,,THEFT,12.9157,77.61
BTM SECOND STAGE,2023,12,,CASES OF HURT,12.9163,77.6161
BTM SECOND STAGE,2020,2,,THEFT,12.9165,77.6074
BTM SECOND STAGE,2016,10,,THEFT,12.914,77.6107
BTM SECOND STAGE,2024,2,,CHEATING,12.9162,77.6055
BTM SECOND STAGE,2023,11,,CYBER CRIME,12.9099,77.6069
BTM SECOND STAGE,2023,10,,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",12.9107,77.6079
BTM SECOND STAGE,2023,11,,THEFT,12.9094,77.6095
BTM SECOND STAGE,2020,1,,THEFT,12.9181,77.6188
BTM SECOND STAGE,2024,1,,THEFT,12.9114,77.6012
BTM SECOND STAGE,2016,10,,THEFT,12.8904,77.605
BTM SECOND STAGE,2023,11,,THEFT,12.9006,77.6108
BTM SECOND STAGE,2024,2,,KARNATAKA POLICE ACT 1963,12.936,77.5544
BTM SECOND STAGE,2024,2,,THEFT,12.8905,77.604
BTM SECOND STAGE,2022,3,,CRIMINAL INTIMIDATION,12.9046,77.5949
BULL TEMPLE ROAD,2020,7,,MOTOR VEHICLE ACCIDENTS FATAL,12.954,77.5681
BYAGADADENAHALLI,2022,3,,THEFT,12.7601,77.7001
BYATHA,2020,1,,MOTOR VEHICLE ACCIDENTS NON-FATAL,13.1723,77.5711
BYRAPURA,2021,4,,THEFT,13.2234,77.5493
